Vitesse;lent;moyen;rapide;tres rapide
5;0,005771837;0,000712567;0,000395622;0,000397107
6;0,001615755;0,000321239;0;0,000212015
7;0,001238746;0,000420531;0;0
8;0,003572615;0;0;0,00026586
9;0,001615755;0,001045487;0,000333563;0,000602391
10;0,002710879;0;0,000383986;0,000349993
11;0;0,000624956;0;0
12;0,018329847;0,003504427;0,002331066;0,000800945
13;0,017441182;0,005291685;0,001016205;0,000434126
14;0,016408894;0,003294162;0,002179798;0
15;0,022755222;0,001781417;0,002866319;0,000494701
16;0,018617093;0,002803542;0,001873386;0,000521624
17;0,033553854;0,001991683;0,001322618;0,000572104
18;0,02574437;0,004222835;0,003498538;0,000612487
19;0,018644022;0,007721421;0,002951649;0
20;0,019828909;0,002318763;0,003071887;0,000666332
21;0,033832123;0,013521249;0,00326194;0,00068989
22;0,019730169;0,005133986;0,001710482;0
23;0,024828775;0,005350092;0,00443717;0,001534584
24;0,027907687;0,00418195;0,001892779;0,000821137
25;0,031372584;0,004357171;0,003878645;0
26;0,027782017;0,01057753;0,00203241;0,000885078
27;0,026597129;0,004725136;0,009440622;0,000898539
28;0,045196269;0,006576642;0,004324689;0,000952384
29;0,026103426;0,003405135;0,002253493;0
30;0,021363877;0,007026377;0,002303915;0
31;0,019460876;0,01082868;0,006031293;0,002052842
32;0,025825157;0,007476111;0,00246294;0
33;0,017728427;0,007674696;0,002552148;0,001117285
34;0,021462618;0,005980889;0,001330375;0,001147572
35;0,021956321;0,012259655;0,009506559;0
36;0,016148578;0,006261243;0,005589127;0,001224975
37;0,036659695;0,004298764;0,004258752;0
38;0,010188236;0,006635049;0,005891662;0,001261993
39;0,031444396;0,01140107;0,003056372;0
40;0,021453641;0,014046913;0,010836934;0,001342761
41;0,02198325;0,01681541;0,003172732;0,001366318
42;0,011211547;0,022130458;0,008094732;0
43;0,023141208;0,012557531;0,004945272;0,001457181
44;0,027728158;0,020553466;0,003389936;0,001463912
45;0,016121648;0,026213116;0,006993197;0
46;0,016453776;0,02961241;0,00354896;0,001537949
47;0,050653932;0,022054529;0,005445618;0,001574967
48;0,008662244;0,039249585;0,003746771;0,001605255
49;0,01764764;0,037187814;0,005709365;0,0016591
50;0,008940513;0,023327804;0,003898038;0,001672562
51;0,009120042;0,020903909;0,009820729;0,003425891
52;0,004649785;0,021236829;0,006062322;0,003510024
53;0,014245577;0,043180385;0,020545182;0,003570599
54;0,014496917;0,034758078;0,006310555;0,00181727
55;0,014811091;0,022428334;0,008494232;0,005522482
56;0,015098337;0,035937902;0,006531638;0,003765788
57;0,010143353;0,029875242;0,004417777;0,00384319
58;0;0,013515408;0,013517078;0
59;0;0,020676121;0,025106469;0,001968709
60;0;0,024460902;0,020995105;0,010112772
61;0;0,024898956;0,009487166;0,00411578
62;0;0,036189052;0,019203171;0,004189817
63;0;0,02575754;0,02192598;0,004236932
64;0;0,026061257;0,019819876;0,002153802
65;0;0,030389225;0,007551722;0,002177359
66;0;0,019233465;0,010227987;0,006653228
67;0;0,011769035;0,005197384;0,002258126
68;0;0,02386515;0,010573186;0,002301875
69;0;0,020068687;0,005379681;0,006962837
70;0;0,012288858;0,00812964;0
71;0;0,008317174;0,002738323;0,004761921
72;0;0,004222835;0,005573613;0,00726235
73;0;0,012785319;0,005658943;0,007356579
74;0;0,004316286;0,020044837;0,009944506
75;0;0,013129921;0,017453902;0,005047973
76;0;0,013316824;0,032378928;0
77;0;0,00894213;0,014928904;0,002604754
78;0;0;0,018132665;0,002638407
79;0;0;0,021429513;0,002661964
80;0;0;0,043429188;0,002705713
81;0;0;0,04708675;0,002736001
82;0;0;0,022213;0,005512386
83;0;0;0,009665583;0,005579692
84;0;0;0,013016732;0,00566046
85;0;0;0,013183514;0,00571767
86;0;0;0,010003025;0,005774881
87;0;0;0,01350932;0,008786838
88;0;0;0,010255137;0,005912859
89;0;0;0,01725997;0,008975295
90;0;0;0,010472341;0,00907962
91;0;0;0,017640077;0,009173849
92;0;0;0,014261778;0,009264712
93;0;0;0,018051214;0,009385864
94;0;0;0,047447464;0,006326792
95;0;0;0,047881872;0,006384003
96;0;0;0,040942976;0,006447944
97;0;0;0,067821986;0,006521981
98;0;0;0;0,003287913
99;0;0;0;0,006646497
100;0;0;0;0,006757553
101;0;0;0;0
102;0;0;0;0,003432621
103;0;0;0;0,003449448
104;0;0;0;0,021002931
105;0;0;0;0,017678
106;0;0;0;0,039253035
107;0;0;0;0,032384427
108;0;0;0;0,01089689
109;0;0;0;0,018287122
110;0;0;0;0,01848231
111;0;0;0;0,014931903
112;0;0;0;0,018832303
113;0;0;0;0,015207859
114;0;0;0;0,030668116
115;0;0;0;0,023220674
116;0;0;0;0,019512097
117;0;0;0;0,027494624
118;0;0;0;0,015894383
119;0;0;0;0,012024271
120;0;0;0;0,012098308
121;0;0;0;0,012192536
122;0;0;0;0,024597088
123;0;0;0;0,024825929
124;0;0;0;0,025011021
125;0;0;0;0,008426749
126;0;0;0;0,042386143
127;0;0;0;0,093956231
128;0;0;0;0,06462751
129;0;0;0;0,025970136
130;0;0;0;0,039555913
